Year,Avg,Std,Min,Max
1961,4.438439034468749,13.979526646023269,0.004338395,143.2617108
1962,4.33191008891875,13.605278827027332,0.004127358,139.1523244
1963,4.2284249461625,13.233102060365113,0.003939223,135.012476
1964,4.125680943256251,12.86068432189721,0.003518268,130.8660465
1965,4.028624046031249,12.512989369369976,0.003419253,127.0849142
1966,3.9289102524625,12.166878976652619,0.00336091,123.4061404
1967,3.8318109216375,11.83570189276226,0.003331625,119.9343564
1968,3.7355653454874997,11.500164990064272,0.003320562,116.5559238
1969,3.6451200543999995,11.18933915604275,0.00330873,113.2463768
1970,3.54871125099375,10.878503102753244,0.003284487,109.9953088
1971,3.4603848892749993,10.575386229032166,0.002995507,106.8208049
1972,3.3742905565624994,10.277623723024217,0.002949853,103.6720707
1973,3.2917942323437495,9.997996755571545,0.00289296,100.7036507
1974,3.209306922175,9.726465214642834,0.002827521,97.83240612
1975,3.1293591009062496,9.463887619253825,0.002296211,95.05608108
1976,2.9967578242375,8.632523484845805,0.002229157,82.54569362
1977,2.9228186718374998,8.411279810827384,0.001942586,80.64980794
1978,2.85470295129375,8.198919413307523,0.001671193,78.50187032
1979,2.7886700027499987,7.971732078701477,0.001622718,75.7673147
1980,2.7271490421562503,7.7822984245913975,0.001582905,73.72011834
1981,2.6672168567937495,7.600313844398097,0.001746894,71.85170225
1982,2.6055224969375,7.407954798451301,0.00172117,70.03655793
1983,2.5459024767562495,7.230784270268616,0.001701002,68.55512891
1984,2.4937481397812507,7.047567109188809,0.001682243,66.59914484
1985,2.4410593754500005,6.86691667991913,0.00166205,64.82154006
1986,2.3888515969562505,6.677498070260827,0.001640241,63.02176113
1987,2.3370662315375,6.5046807705018,0.001617251,61.43089031
1988,2.2877658565687504,6.340771486803392,0.001594331,59.92057416
1989,2.23581845655625,6.179808107287979,0.001397868,58.63241476
1990,2.17938445283851,6.024857136193558,0.001380739,57.53479853
1991,2.13377898563354,5.918347107664748,0.00136612,56.86654644
1992,2.0752923444189944,5.57469069542568,0.001353409,55.07575758
1993,2.0320578312611115,5.389049877406416,0.001340258,52.63985859
1994,1.9988695549888889,5.32312206433611,0.001323627,51.9373082
1995,1.9631940113333333,5.241416950220415,0.001302083,51.55308964
1996,1.936506203572222,5.17824870150053,0.0012749,51.13034096
1997,1.9319129894666665,5.350954288098985,0.001088478,55.17594178
1998,1.905293399611111,5.2954109686972,0.001061893,54.8098472
1999,1.8776123211888893,5.241893819831076,0.001039655,54.83249158
2000,1.843952593165746,5.178947367057878,0.00102414,54.43053817
2001,1.8148565094585636,5.099097234572737,0.001015523,53.59669421
2002,1.77770250239779,5.018246297125818,0.001012731,53.08841588
2003,1.713440735674033,4.584462458975195,0.001013465,46.08991495
2004,1.6875245144143651,4.524831071346048,0.001014934,45.54559295
2005,1.6660468602099443,4.468415642533042,0.001014934,44.89489513
2006,1.6310235206208792,4.390873712252342,0.000868181,44.64556467
2007,1.600902470752747,4.307285661453342,0.000865177,44.01078998
2008,1.5739750315769232,4.2259266462791825,0.000861079,43.35131029
2009,1.5413607833241758,4.137211488081119,0.000856287,42.54341317
2010,1.5154854740109889,4.060665209416644,0.000780142,41.86804276
2011,1.5016463632666661,4.036242043332392,0.000775085,41.21532317
2012,1.4802320247679557,3.95563272489599,0.000713486,40.55643777
2013,1.4531468886961327,3.882222826053086,0.00070794,39.9119056
